Ware_house_ID,WH_Manager_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton,avg_shipping_time,daily_order_volume,monthly_stock_variation,regional_sales_growth,market_competition_index,transportation_cost,fuel_price_index,ad_campaign_effectiveness
WH_123311,EID_73311,Rural,Large,West,Zone 6,1,1,4,4081,Company Owned,59,0,0,1,238,22.0,,28,0,B+,5,6,34076,7.45,109,-0.15,1.09,5,250.56241142870743,104.67362082062144,1.26
WH_123623,EID_73623,Rural,Mid,North,Zone 3,8,0,3,6079,Rented,53,0,0,1,223,30.0,1999.0,37,0,A,4,27,50082,1.65,290,-0.01,1.05,3,234.7706628092511,77.4846216007475,1.06
WH_101020,EID_51020,Rural,Large,North,Zone 6,8,0,4,4098,Company Owned,47,0,0,1,162,26.0,1998.0,24,1,A+,3,23,30122,7.28,489,-0.17,1.02,9,170.5508850901286,102.54525834370392,0.95
WH_112645,EID_62645,Rural,Large,South,Zone 5,8,1,2,4460,Company Owned,52,0,0,1,124,40.0,2005.0,26,0,B,3,25,31149,4.7,58,-0.15,1.08,1,130.54512192083916,72.33384959248875,1.04
WH_101533,EID_51533,Rural,Large,North,Zone 6,4,0,4,4820,Rented,52,0,0,0,152,18.0,2011.0,19,0,B,5,6,23146,3.45,287,0.05,1.08,4,160.0230526771577,81.13697561855345,1.08
WH_103518,EID_53518,Rural,Mid,North,Zone 4,0,0,5,4681,Company Owned,63,1,0,1,162,30.0,,15,0,B,5,26,18124,1.64,374,0.12,1.1,5,170.5508850901286,109.2432101931729,1.32
WH_100483,EID_50483,Urban,Mid,South,Zone 4,1,2,2,7579,Rented,26,0,0,0,245,21.0,,33,0,A+,3,26,43143,6.65,428,0.12,1.12,9,257.93189411778707,97.0148476219766,1.17
WH_119370,EID_69370,Rural,Large,North,Zone 5,1,0,3,5264,Rented,27,0,0,1,65,55.0,,28,0,B+,3,14,35074,1.35,430,-0.06,1.03,2,68.43091068431086,101.11886028680716,1.03
WH_112667,EID_62667,Rural,Large,North,Zone 5,0,0,3,4872,Rented,69,0,0,1,122,24.0,,18,0,A+,6,25,22082,7.83,300,-0.08,1.09,9,128.43955543824498,113.5444599710665,1.22
WH_107403,EID_57403,Rural,Mid,North,Zone 2,2,0,2,4443,Company Owned,31,0,0,1,164,25.0,,0,0,,0,12,3104,4.64,138,-0.14,1.07,4,172.65645157272277,115.04580390826162,1.08
WH_102712,EID_52712,Rural,Mid,South,Zone 3,5,1,3,6163,Rented,17,0,0,0,195,32.0,1999.0,14,1,C,5,27,19090,4.13,419,-0.14,1.07,2,205.29273205293256,70.84542473775166,0.92
WH_111605,EID_61605,Rural,Large,West,Zone 6,8,0,1,5385,Rented,52,0,0,0,114,36.0,2015.0,21,0,B+,6,23,27150,8.1,144,0.13,1.03,2,120.01728950786828,81.29759754653553,1.21
WH_107921,EID_57921,Rural,Mid,South,Zone 4,7,0,2,4626,Rented,35,0,0,1,191,34.0,2010.0,20,0,A,2,11,25130,7.41,73,0.01,1.13,4,201.08159908774425,105.63960860538556,0.99
WH_107801,EID_57801,Rural,Mid,West,Zone 2,8,0,2,7816,Company Owned,15,0,0,1,247,25.0,2007.0,21,1,B+,3,12,27117,2.11,86,0.17,1.1,5,260.0374606003813,118.82238919565113,1.2
WH_124811,EID_74811,Rural,Large,West,Zone 5,6,0,4,4968,Rented,40,0,0,1,244,,1999.0,32,1,B+,3,25,39082,6.32,204,0.18,1.06,9,256.87911087648996,101.24800039502176,1.04
WH_120273,EID_70273,Rural,Small,South,Zone 6,4,0,2,4747,Company Owned,48,0,0,1,248,31.0,2013.0,13,0,A,1,2,17091,9.98,126,-0.16,1.12,8,261.09024384167833,72.55352607231582,1.3
WH_106750,EID_56750,Rural,Large,North,Zone 6,3,1,3,5475,Company Owned,48,1,0,1,172,25.0,2018.0,5,0,B,2,28,6113,3.59,350,0.03,1.02,3,181.0787175030995,118.73014655616956,1.19
WH_119637,EID_69637,Rural,Mid,South,Zone 3,5,1,2,4454,Company Owned,28,0,0,1,147,24.0,,10,0,C,4,19,12067,2.19,417,-0.1,1.08,4,154.75913647067225,110.3245947314378,1.21
WH_123533,EID_73533,Rural,Large,North,Zone 6,7,0,2,5028,Company Owned,33,0,0,0,89,19.0,2010.0,24,0,B+,2,28,30144,9.25,481,0.15,1.11,4,93.69770847544102,71.37411959301934,1.17
WH_116623,EID_66623,Rural,Small,North,Zone 6,3,0,3,4803,Rented,40,0,0,1,70,41.0,2008.0,19,1,A+,5,9,24076,9.13,464,0.14,1.03,3,73.6948268907963,86.28064612068886,0.86
WH_110425,EID_60425,Rural,Small,West,Zone 6,8,0,6,4450,Rented,32,0,0,1,198,25.0,2008.0,22,0,C,6,9,29120,8.56,487,-0.17,1.05,1,208.45108177682383,76.46301017965914,1.14
WH_114642,EID_64642,Rural,Large,West,Zone 5,2,0,5,4321,Rented,41,0,0,1,96,37.0,,27,0,B+,6,10,34103,7.82,249,0.15,1.11,7,101.06719116452064,111.91670837589636,1.06
WH_114443,EID_64443,Rural,Large,North,Zone 5,3,1,2,5164,Rented,31,0,0,0,114,29.0,2022.0,5,1,B,3,17,6123,8.48,112,-0.16,1.05,8,120.01728950786828,104.52395351189388,1.21
WH_124472,EID_74472,Rural,Large,North,Zone 5,8,0,3,5254,Rented,62,0,0,0,62,18.0,1998.0,34,0,C,2,14,45138,8.59,138,-0.04,1.12,3,65.27256096041958,87.03396974083836,1.04
WH_111895,EID_61895,Rural,Mid,West,Zone 3,7,1,5,6194,Company Owned,28,0,0,1,204,28.0,2015.0,13,1,A+,6,19,17140,3.66,314,0.18,1.07,1,214.7677812246064,106.650195572357,1.07
WH_111535,EID_61535,Rural,Mid,South,Zone 2,5,4,2,4808,Rented,64,0,0,0,162,23.0,,25,1,B,6,32,30134,8.66,174,-0.16,1.12,4,170.5508850901286,113.42740673617806,0.95
